id,title,plain_citation,source_type,doi,url,artifact_type,ieee_icicle_listed,notes
manual:goodell2020-competencies,Competencies of Learning Engineering Teams and Team Members,"Goodell J, Kessler A, Kurzweil D, Kolodner J. (2020). Competencies of Learning Engineering Teams and Team Members. IEEE ICICLE Proceedings of the 2019 Conference on Learning Engineering, Arlington VA.",user_added_seed,,https://sagroups.ieee.org/icicle/proceedings/,conference_artifact,TRUE,Primary competency definition seed
manual:le-toolkit-2026,Learning Engineering Toolkit,"IEEE ICICLE. (2026). Learning Engineering Toolkit. IEEE SA.",user_added_seed,,https://sagroups.ieee.org/icicle/learning-engineering-toolkit/,book_or_chapter,TRUE,Primary source document for chapter structure and endnotes
manual:koedinger2015-learnlab,Learning is Not a Spectator Sport,"Koedinger KR, Kim J, Jia JZ, McLaughlin EA, Bier NL. (2015). Learning is Not a Spectator Sport: Doing is Better than Watching for Learning from a MOOC. L@S 2015.",user_added_seed,10.1145/2724660.2724681,,conference_artifact,FALSE,Evidence-centered LE practice seed
manual:chi2018-active,Active Learning,"Chi MTH, Wylie R. (2018). The ICAP Framework: Linking Cognitive Engagement to Active Learning Outcomes. Educational Psychologist.",user_added_seed,10.1080/00461520.2014.965823,,paper_or_article,FALSE,Learning science foundations seed
manual:vanlehn2011-relative,The Relative Effectiveness of Human Tutoring,"VanLehn K. (2011). The Relative Effectiveness of Human Tutoring, Intelligent Tutoring Systems, and Other Tutoring Systems. Educational Psychologist.",user_added_seed,10.1080/00461520.2011.611369,,paper_or_article,FALSE,ITS/adaptive learning seed
